departamento,fecha,temp_celsius
Meta,2024-06-16,24.34841729067795
Narino,2024-06-16,19.630014351916106
Norte De Santander,2024-06-16,21.049083999274767
Putumayo,2024-06-16,23.12341639033662
Quindio,2024-06-16,15.529362151562772
Risaralda,2024-06-16,17.4862909837473
San Andres Y Providencia,2024-06-16,
Santander,2024-06-16,20.755851796168944
Sucre,2024-06-16,26.297452953235588
Tolima,2024-06-16,17.99673025998552
Valle Del Cauca,2024-06-16,19.386969587592812
Vaupes,2024-06-16,25.5872867119094
Vichada,2024-06-16,25.899872644367374
Amazonas,2024-06-17,25.535608850840312
Antioquia,2024-06-17,22.30258998055012
Arauca,2024-06-17,24.430711834858013
Atlantico,2024-06-17,28.320163248002416
Bolivar,2024-06-17,26.26130374100534
Boyaca,2024-06-17,15.12762002749792
Buenaventura,2024-06-17,
Caldas,2024-06-17,19.110931229845175
Caqueta,2024-06-17,25.042965414093235
Casanare,2024-06-17,25.591323366488304
Cauca,2024-06-17,18.95630791789004
Cesar,2024-06-17,25.1745006721151
Choco,2024-06-17,25.32250382658137
Cordoba,2024-06-17,26.502752320924916
Cundinamarca,2024-06-17,17.023825133655105
Guainia,2024-06-17,25.248085775410008
Guajira,2024-06-17,26.63821111659001
Guaviare,2024-06-17,25.583252983691565
Huila,2024-06-17,18.191489334653124
Magdalena,2024-06-17,25.79263531153944
Meta,2024-06-17,24.966020061337396
Narino,2024-06-17,20.58873257843102
Norte De Santander,2024-06-17,21.08377367679843
Putumayo,2024-06-17,24.34800219525887
Quindio,2024-06-17,16.15164726275838
Risaralda,2024-06-17,18.16897185604381
San Andres Y Providencia,2024-06-17,
Santander,2024-06-17,21.21828073063999
Sucre,2024-06-17,27.507716546988597
Tolima,2024-06-17,18.789627884177815
Valle Del Cauca,2024-06-17,20.2283626093982
Vaupes,2024-06-17,25.10590464833064
Vichada,2024-06-17,25.871386480295097
Amazonas,2024-06-18,26.370744217310346
Antioquia,2024-06-18,22.257076435468093
Arauca,2024-06-18,25.046420046621467
Atlantico,2024-06-18,28.68030585387843
Bolivar,2024-06-18,26.577049478724813
Boyaca,2024-06-18,15.544528390227999
Buenaventura,2024-06-18,
Caldas,2024-06-18,19.482329480588525
Caqueta,2024-06-18,25.525670948928553
Casanare,2024-06-18,25.625233471830146
Cauca,2024-06-18,18.705776585873313
Cesar,2024-06-18,25.46171589894575
Choco,2024-06-18,25.0528781415141
Cordoba,2024-06-18,26.45281785592333
Cundinamarca,2024-06-18,17.697875678358873
Guainia,2024-06-18,25.45816126211391
Guajira,2024-06-18,26.890355655393574
Guaviare,2024-06-18,26.040239822768076
Huila,2024-06-18,18.228574657177578
Magdalena,2024-06-18,25.918021314887493
Meta,2024-06-18,25.145768375246867
Narino,2024-06-18,20.040896671778686
Norte De Santander,2024-06-18,21.884974118852227
Putumayo,2024-06-18,24.989572318629275
Quindio,2024-06-18,15.980474164509813
Risaralda,2024-06-18,18.28115964331422
San Andres Y Providencia,2024-06-18,
Santander,2024-06-18,21.91411709658351
Sucre,2024-06-18,27.431629837380704
Tolima,2024-06-18,19.623771964453955
Valle Del Cauca,2024-06-18,20.012289336216813
Vaupes,2024-06-18,25.61388192010502
Vichada,2024-06-18,25.937788016431387
Amazonas,2024-06-19,26.803573315431727
Antioquia,2024-06-19,21.27167062292446
Arauca,2024-06-19,24.916772423831535
Atlantico,2024-06-19,27.369007936482063
Bolivar,2024-06-19,25.200116919455738
Boyaca,2024-06-19,15.23564176948742
Buenaventura,2024-06-19,
Caldas,2024-06-19,18.429568644352283
Caqueta,2024-06-19,25.30716575414568
Casanare,2024-06-19,25.97896441192929
Cauca,2024-06-19,18.13235360656926
Cesar,2024-06-19,24.22827492974307
Choco,2024-06-19,24.04721530690542
Cordoba,2024-06-19,25.77364201737817
Cundinamarca,2024-06-19,17.127053010293523
Guainia,2024-06-19,26.210171790544464
Guajira,2024-06-19,26.1764598175044
Guaviare,2024-06-19,25.856637181829043
Huila,2024-06-19,17.65908341285437
Magdalena,2024-06-19,24.94132980712343
Meta,2024-06-19,24.809338038729045
Narino,2024-06-19,19.937239040624984
Norte De Santander,2024-06-19,20.629185682178708
Putumayo,2024-06-19,24.310349404546034
Quindio,2024-06-19,15.650000832592115
Risaralda,2024-06-19,17.53427864024378
San Andres Y Providencia,2024-06-19,
Santander,2024-06-19,20.627303919932494
Sucre,2024-06-19,26.449525649521217
Tolima,2024-06-19,18.550861371992237
Valle Del Cauca,2024-06-19,19.441550264602363
Vaupes,2024-06-19,26.328368991579683
Vichada,2024-06-19,26.058963483944257
Amazonas,2024-06-20,25.18613156514665
Antioquia,2024-06-20,21.111926681040202
Arauca,2024-06-20,24.353345810159087
Atlantico,2024-06-20,26.00277430896455
Bolivar,2024-06-20,24.631582279401005
Boyaca,2024-06-20,15.255674872763956
Buenaventura,2024-06-20,
Caldas,2024-06-20,18.772439931799134
Caqueta,2024-06-20,23.832844962137333
Casanare,2024-06-20,25.215544786276705
Cauca,2024-06-20,18.21954219511768
Cesar,2024-06-20,23.95122791379664
Choco,2024-06-20,24.286308093073426
Cordoba,2024-06-20,25.33844089805596
Cundinamarca,2024-06-20,16.99787950416372
Guainia,2024-06-20,24.702944486135802
Guajira,2024-06-20,26.115109264472455
Guaviare,2024-06-20,24.483878029651343
Huila,2024-06-20,17.631838481927048
Magdalena,2024-06-20,24.023124018401365
Meta,2024-06-20,24.247595388130296
Narino,2024-06-20,19.889079115585478
Norte De Santander,2024-06-20,20.990392968934117
Putumayo,2024-06-20,23.352134128765133
Quindio,2024-06-20,15.814834209670085
Risaralda,2024-06-20,17.685356420804602
San Andres Y Providencia,2024-06-20,
Santander,2024-06-20,20.638764500865417
Sucre,2024-06-20,25.701763416875835
Tolima,2024-06-20,18.54876748806809
Valle Del Cauca,2024-06-20,19.422344075785034
Vaupes,2024-06-20,24.588202461788224
Vichada,2024-06-20,24.99160586075973
Amazonas,2024-06-21,25.372556338102523
